"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"askpass","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1",NA,NA,NA,NA
"bit","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","4.0.5",NA,NA,NA,NA
"bit64","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","4.0.5",NA,NA,NA,NA
"blob","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.2.3",NA,NA,NA,NA
"cachem","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.6",NA,NA,NA,NA
"classInt","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.4-8",NA,NA,NA,NA
"cli","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","3.6.0",NA,NA,NA,NA
"cpp11","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.4.3",NA,NA,NA,NA
"crayon","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.5.2",NA,NA,NA,NA
"curl","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","5.0.1",NA,NA,NA,NA
"data.table","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.14.6",NA,NA,NA,NA
"DBI","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.3",NA,NA,NA,NA
"digest","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.6.31",NA,NA,NA,NA
"e1071","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.7-12",NA,NA,NA,NA
"fansi","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.4",NA,NA,NA,NA
"fastmap","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.1",NA,NA,NA,NA
"filelock","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.2",NA,NA,NA,NA
"fpCompare","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.2.4",NA,NA,NA,NA
"fs","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.6.2",NA,NA,NA,NA
"gargle","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.5.0",NA,NA,NA,NA
"glue","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.6.2",NA,NA,NA,NA
"googledrive","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.1.1",NA,NA,NA,NA
"httr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.4.6",NA,NA,NA,NA
"jsonlite","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.8.5",NA,NA,NA,NA
"lifecycle","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.3",NA,NA,NA,NA
"lobstr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.2",NA,NA,NA,NA
"magrittr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.0.3",NA,NA,NA,NA
"memoise","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.0.1",NA,NA,NA,NA
"mime","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.12",NA,NA,NA,NA
"openssl","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.0.6",NA,NA,NA,NA
"pillar","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.9.0",NA,NA,NA,NA
"pkgconfig","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.0.3",NA,NA,NA,NA
"plogr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.2.0",NA,NA,NA,NA
"prettyunits","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.1",NA,NA,NA,NA
"proxy","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.4-27",NA,NA,NA,NA
"purrr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.1",NA,NA,NA,NA
"R6","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.5.1",NA,NA,NA,NA
"rappdirs","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.3.3",NA,NA,NA,NA
